id,title,description,availability,condition,price,sale_price,link,image_link,additional_image_link,brand,google_product_category,product_type
"set-de-12-templos-mini","Set de 12 Templos Mini · Casas del Zodiaco","Las 12 Casas del Santuario de Athena en versión miniatura: un set de 12 templos para tener la colección completa de los caballeros dorados exhibida en poco espacio. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","150.00 PEN","100.00 PEN","https://boomart.pe/catalogo.html#set-de-12-templos-mini","https://boomart.pe/assets/products/set-de-12-templos-mini-1.jpg","https://boomart.pe/assets/products/set-de-12-templos-mini-2.jpg","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Saint Seiya"
"set-12-cajas-de-pandora-con-pedestales","Set de 12 Cajas de Pandora con Pedestales · Saint Seiya","Las 12 Cajas de Pandora de los Caballeros Dorados, cada una con su pedestal estilo piedra. El set completo que corona cualquier colección de Saint Seiya. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","440.00 PEN","400.00 PEN","https://boomart.pe/catalogo.html#set-12-cajas-de-pandora-con-pedestales","https://boomart.pe/assets/products/set-12-cajas-de-pandora-con-pedestales.jpg","","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Saint Seiya"
"casco-de-pegaso-saint-seiya","Casco de Pegaso · Saint Seiya","El casco de la Armadura de Pegaso, la que porta Seiya, en réplica decorativa para exhibición. Alas laterales, visor y volúmenes reproducidos fielmente. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","275.00 PEN","250.00 PEN","https://boomart.pe/catalogo.html#casco-de-pegaso-saint-seiya","https://boomart.pe/assets/products/casco-de-pegaso-saint-seiya.jpg","","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Saint Seiya"
"escultura-de-atena-saint-seiya","Escultura de la Diosa Atena · Saint Seiya","Escultura de Atena de cuerpo entero, la diosa de la sabiduría y la guerra justa, con espectacular acabado estilo piedra envejecida. Impresa en 3D y detallada a mano, hecha a pedido en Lima. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","130.00 PEN","100.00 PEN","https://boomart.pe/catalogo.html#escultura-de-atena-saint-seiya","https://boomart.pe/assets/products/escultura-de-atena-saint-seiya-1.jpg","https://boomart.pe/assets/products/escultura-de-atena-saint-seiya-2.jpg","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Saint Seiya"
"diorama-caballeros-de-bronce","Diorama de los Caballeros de Bronce · Saint Seiya","Diorama de exhibición de los Caballeros de Bronce —Seiya, Shiryu, Hyoga, Shun e Ikki— impreso en alta definición con el máximo nivel de detalle. La base perfecta para presentar tus figuras de Saint Seiya. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","165.00 PEN","150.00 PEN","https://boomart.pe/catalogo.html#diorama-caballeros-de-bronce","https://boomart.pe/assets/products/diorama-caballeros-de-bronce.jpg","","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Saint Seiya"
"diorama-de-pegaso","Diorama de Pegaso · Saint Seiya","¡Dale a tu caballero el diorama que se merece! Base de exhibición temática de Pegaso con acabado realista, pensada para lucir tu figura de Saint Seiya. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","165.00 PEN","150.00 PEN","https://boomart.pe/catalogo.html#diorama-de-pegaso","https://boomart.pe/assets/products/diorama-de-pegaso.jpg","","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Saint Seiya"
"altar-exhibidor-sagitario","Altar Exhibidor · Edición Sagitario · Saint Seiya","Altar Exhibidor · Edición Sagitario. Un pedestal temático que eleva cualquier figura de Saint Seiya al nivel de los dioses del Santuario. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","88.00 PEN","80.00 PEN","https://boomart.pe/catalogo.html#altar-exhibidor-sagitario","https://boomart.pe/assets/products/altar-exhibidor-sagitario-1.jpg","https://boomart.pe/assets/products/altar-exhibidor-sagitario-2.jpg,https://boomart.pe/assets/products/altar-exhibidor-sagitario-3.jpg,https://boomart.pe/assets/products/altar-exhibidor-sagitario-4.jpg","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Saint Seiya"
"castillo-de-hogwarts","Castillo de Hogwarts · Harry Potter","El castillo de Hogwarts en réplica decorativa impresa en 3D: torres, puentes y el Gran Comedor reconocibles al instante. Pieza imprescindible para todo fan del mundo mágico. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","88.00 PEN","80.00 PEN","https://boomart.pe/catalogo.html#castillo-de-hogwarts","https://boomart.pe/assets/products/castillo-de-hogwarts.jpg","","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Harry Potter"
"ajedrez-de-hogwarts-4-casas","Ajedrez de Hogwarts · 4 Casas · Harry Potter","Ajedrez de colección Hogwarts · 4 Casas. Un homenaje integral al colegio de magia. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","286.00 PEN","260.00 PEN","https://boomart.pe/catalogo.html#ajedrez-de-hogwarts-4-casas","https://boomart.pe/assets/products/ajedrez-de-hogwarts-4-casas.jpg","","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Harry Potter"
"lampara-sombrero-seleccionador","Lámpara Sombrero Seleccionador · Harry Potter","Lámpara LED del Sombrero Seleccionador con iluminación integrada que resalta su emblemática expresión. El regalo perfecto para los verdaderos fans de Harry Potter. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","105.00 PEN","95.00 PEN","https://boomart.pe/catalogo.html#lampara-sombrero-seleccionador","https://boomart.pe/assets/products/lampara-sombrero-seleccionador.jpg","","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Harry Potter"
"lampara-lunar-hogwarts","Lámpara Lunar Hogwarts · Harry Potter","Ilumina tu espacio con la magia de esta lámpara lunar de Hogwarts: un modelo exclusivo que combina el castillo con una luna retroiluminada. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","275.00 PEN","250.00 PEN","https://boomart.pe/catalogo.html#lampara-lunar-hogwarts","https://boomart.pe/assets/products/lampara-lunar-hogwarts.jpg","","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Harry Potter"
"casco-de-wolverine-con-garras","Casco de Wolverine + Garras · Marvel","Casco decorativo de Wolverine acompañado de su set de garras. Dos piezas de exhibición para el fan de Marvel y los X-Men. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","220.00 PEN","200.00 PEN","https://boomart.pe/catalogo.html#casco-de-wolverine-con-garras","https://boomart.pe/assets/products/casco-de-wolverine-con-garras.jpg","","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Marvel & DC"
"mascara-de-batwoman","Máscara de Batwoman · DC","Máscara decorativa de Batwoman para exhibición: orejas afiladas y contorno marcado, impresa en 3D y detallada a mano. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","110.00 PEN","100.00 PEN","https://boomart.pe/catalogo.html#mascara-de-batwoman","https://boomart.pe/assets/products/mascara-de-batwoman.jpg","","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Marvel & DC"
"palomera-cara-de-spiderman","Palomera Cara de Spider-Man · Marvel","Espectacular palomera con forma de la cara de Spider-Man: ojos blancos, telaraña roja y azul. Ideal para tu noche de cine en casa o como pieza decorativa Marvel. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","77.00 PEN","70.00 PEN","https://boomart.pe/catalogo.html#palomera-cara-de-spiderman","https://boomart.pe/assets/products/palomera-cara-de-spiderman.jpg","","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Marvel & DC"
"palomera-spiderman","Palomera Spider-Man · Marvel","Palomera temática de Spider-Man para tu noche de películas: práctica, resistente y con el diseño arácnido que todo fan de Marvel reconoce. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","77.00 PEN","70.00 PEN","https://boomart.pe/catalogo.html#palomera-spiderman","https://boomart.pe/assets/products/palomera-spiderman.jpg","","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Marvel & DC"
"mascara-el-juego-del-calamar","Máscara de El Juego del Calamar","Máscara decorativa de El Juego del Calamar (círculo, triángulo o cuadrado), impresa en 3D. Perfecta para exhibición, cosplay o para completar tu disfraz. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","55.00 PEN","50.00 PEN","https://boomart.pe/catalogo.html#mascara-el-juego-del-calamar","https://boomart.pe/assets/products/mascara-el-juego-del-calamar.jpg","","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Series y Películas"
"casco-de-agamenon-la-odisea","Casco de Agamenón · La Odisea","Casco decorativo de Agamenón a tamaño real, inspirado en La Odisea y la Grecia de los héroes. Una pieza imponente de exhibición. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","438.00 PEN","398.00 PEN","https://boomart.pe/catalogo.html#casco-de-agamenon-la-odisea","https://boomart.pe/assets/products/casco-de-agamenon-la-odisea.jpg","","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Series y Películas"
"pato-lucas-kratos-god-of-war","Pato Lucas Kratos · God of War","El clásico y temperamental Pato Lucas se fusiona con la furia de Kratos de God of War: barba, tatuaje espartano y mirada de pocos amigos. Una figura decorativa única. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","132.00 PEN","120.00 PEN","https://boomart.pe/catalogo.html#pato-lucas-kratos-god-of-war","https://boomart.pe/assets/products/pato-lucas-kratos-god-of-war.jpg","","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Series y Películas"
"maceta-pikachu","Maceta de Pikachu · Pokémon","Maceta decorativa de Pikachu (Pokémon), impresa en 3D con filamento de alta calidad. Perfecta para tus suculentas o cactus en el escritorio o la repisa. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","66.00 PEN","60.00 PEN","https://boomart.pe/catalogo.html#maceta-pikachu","https://boomart.pe/assets/products/maceta-pikachu.jpg","","BoomArt","Home & Garden > Lawn & Garden > Gardening > Pots & Planters","Macetas Decorativas"
"replica-copa-del-mundo-tamano-real","Réplica Premium Copa del Mundo · Tamaño real 1:1","Siente la pasión del mundial: réplica premium de la Copa del Mundo FIFA a tamaño real (escala 1:1), con acabado dorado y base tipo malaquita. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","165.00 PEN","150.00 PEN","https://boomart.pe/catalogo.html#replica-copa-del-mundo-tamano-real","https://boomart.pe/assets/products/replica-copa-del-mundo-tamano-real.jpg","","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Mundial de Fútbol"
"botin-de-oro-del-mundial","Botín de Oro del Mundial","Diseño exclusivo de Boom Art: el Botín de Oro (Golden Boot) dorado incorpora un relieve de alta precisión con el mapamundi. Pieza de colección para el amante del fútbol. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","176.00 PEN","160.00 PEN","https://boomart.pe/catalogo.html#botin-de-oro-del-mundial","https://boomart.pe/assets/products/botin-de-oro-del-mundial.jpg","","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Mundial de Fútbol"
"balon-de-oro-del-mundial","Balón de Oro del Mundial","El Balón de Oro, máximo galardón individual del fútbol, en réplica decorativa con acabado dorado. El regalo ideal para el fanático que lo tiene casi todo. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","220.00 PEN","200.00 PEN","https://boomart.pe/catalogo.html#balon-de-oro-del-mundial","https://boomart.pe/assets/products/balon-de-oro-del-mundial.jpg","","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Mundial de Fútbol"
"caja-organizadora-figuritas-panini-2026","Caja Organizadora de Figuritas · Panini Mundial 2026","Organiza y protege tus figuritas repetidas del álbum Panini Mundial 2026 con esta caja coleccionadora impresa en 3D. Se acabó tenerlas sueltas. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","33.00 PEN","30.00 PEN","https://boomart.pe/catalogo.html#caja-organizadora-figuritas-panini-2026","https://boomart.pe/assets/products/caja-organizadora-figuritas-panini-2026.jpg","","BoomArt","Arts & Entertainment > Hobbies & Creative Arts > Collectibles","Mundial de Fútbol"
"maceta-groot","Maceta Groot · Guardianes de la Galaxia","Maceta inspirada en Groot, con diseño detallado y colores naranja y verde que evocan su aspecto de árbol. Tamaño generoso para acomodar varias plantas. Ideal para los fans de los Guardianes de la Galaxia. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","85.00 PEN","77.00 PEN","https://boomart.pe/catalogo.html#maceta-groot","https://boomart.pe/assets/products/maceta-groot.jpg","","BoomArt","Home & Garden > Lawn & Garden > Gardening > Pots & Planters","Macetas Decorativas"
"maceta-baby-groot","Maceta Baby Groot","Maceta de Baby Groot (Guardianes de la Galaxia), minimalista y con hermosos detalles en el rostro y las ramas. Ideal para escritorios, repisas y decoración de ambientes. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","49.00 PEN","44.00 PEN","https://boomart.pe/catalogo.html#maceta-baby-groot","https://boomart.pe/assets/products/maceta-baby-groot.jpg","","BoomArt","Home & Garden > Lawn & Garden > Gardening > Pots & Planters","Macetas Decorativas"
"maceta-dedo-medio","Maceta Dedo Medio","Una maceta pequeña y divertida con forma de dedo medio, en color neutro que combina con todos tus espacios: la sala, el escritorio de la oficina, donde quieras dar un mensaje sin decir nada. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","49.00 PEN","44.00 PEN","https://boomart.pe/catalogo.html#maceta-dedo-medio","https://boomart.pe/assets/products/maceta-dedo-medio.jpg","","BoomArt","Home & Garden > Lawn & Garden > Gardening > Pots & Planters","Macetas Decorativas"
"maceta-darth-vader","Maceta Darth Vader · Star Wars","Maceta de Darth Vader (Star Wars) en elegante color negro, capturando el casco del Lord Sith. El lado oscuro de la jardinería para tu escritorio. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","61.00 PEN","55.00 PEN","https://boomart.pe/catalogo.html#maceta-darth-vader","https://boomart.pe/assets/products/maceta-darth-vader.jpg","","BoomArt","Home & Garden > Lawn & Garden > Gardening > Pots & Planters","Macetas Decorativas"
"maceta-david","Maceta David · Arte clásico","Maceta inspirada en el David de Miguel Ángel: elegancia y arte clásico en un diseño minimalista que eleva cualquier ambiente. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","73.00 PEN","66.00 PEN","https://boomart.pe/catalogo.html#maceta-david","https://boomart.pe/assets/products/maceta-david.jpg","","BoomArt","Home & Garden > Lawn & Garden > Gardening > Pots & Planters","Macetas Decorativas"
"maceta-minimalista","Maceta Minimalista","Optimiza tu espacio con una maceta minimalista de líneas limpias y textura sutil, ideal para escritorio, repisa o mesa de centro. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","49.00 PEN","44.00 PEN","https://boomart.pe/catalogo.html#maceta-minimalista","https://boomart.pe/assets/products/maceta-minimalista.jpg","","BoomArt","Home & Garden > Lawn & Garden > Gardening > Pots & Planters","Macetas Decorativas"
"maceta-palmera","Maceta Palmera","Maceta minimalista negra con textura de hojas de palmera: elegante y moderna, ideal para complementar una decoración tropical o contemporánea. Fabricado a pedido en impresion 3D (PLA). Produccion ~48 h utiles. Envios a todo el Peru.","in stock","new","49.00 PEN","44.00 PEN","https://boomart.pe/catalogo.html#maceta-palmera","https://boomart.pe/assets/products/maceta-palmera.jpg","","BoomArt","Home & Garden > Lawn & Garden > Gardening > Pots & Planters","Macetas Decorativas"
